,CORRELATION_ID,IDENTIFIER_1,VERSION_NUMBER_1,VERSION_DATE_1,IDENTIFIER_2,VERSION_NUMBER_2,VERSION_DATE_2,CONFIDENCE
381926,BLPU_906700439478_TopographicArea_osgb1000040412156_5,906700439478,,20160210000000,osgb1000040412156,7,20080210000000,Version information is correct
382446,BLPU_906700499550_TopographicArea_osgb1000040412136_5,906700499550,,20200226000000,osgb1000040412136,12,20150624000000,Version information is correct
382496,BLPU_906700500574_TopographicArea_osgb1000040410595_5,906700500574,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
382561,BLPU_906700501500_TopographicArea_osgb1000040410591_5,906700501500,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
382562,BLPU_906700501509_TopographicArea_osgb1000040410591_5,906700501509,,20200226000000,osgb1000040410591,4,20150201000000,Version information is correct
235526,BLPU_906700326192_TopographicArea_osgb1000040410595_5,906700326192,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
235527,BLPU_906700326198_TopographicArea_osgb1000040410595_5,906700326198,,20200730000000,osgb1000040410595,13,20180910000000,Version information is correct
235528,BLPU_906700326206_TopographicArea_osgb1000040410595_5,906700326206,,20200226000000,osgb1000040410595,13,20180910000000,Version information is correct
243525,BLPU_906700115038_TopographicArea_osgb1000040412157_5,906700115038,,20200226000000,osgb1000040412157,7,20080210000000,Version information is correct
243528,BLPU_906700115045_TopographicArea_osgb1000040412157_5,906700115045,,20200226000000,osgb1000040412157,7,20080210000000,Version information is correct
246235,BLPU_906700083256_TopographicArea_osgb1000002038515043_5,906700083256,,20170326000000,osgb1000002038515043,8,20150624000000,Version information is correct
246236,BLPU_906700083259_TopographicArea_osgb1000002038515043_5,906700083259,,20170326000000,osgb1000002038515043,8,20150624000000,Version information is correct
246237,BLPU_906700083261_TopographicArea_osgb1000002038515043_5,906700083261,,20170326000000,osgb1000002038515043,8,20150624000000,Version information is correct
246288,BLPU_906700084051_TopographicArea_osgb1000040412136_5,906700084051,,20160210000000,osgb1000040412136,12,20150624000000,Version information is correct
246297,BLPU_906700084148_TopographicArea_osgb1000040412136_5,906700084148,,20160210000000,osgb1000040412136,12,20150624000000,Version information is correct
